Districts ,0,1,2,3,4
0创研中心1,(50.345;27.5;53.495;31.24);4712.4;9000,(50.345;27.5;53.495;31.24);4712.4;9000,(50.59;27.5;53.81;31.18);4739.84;9000,(50.345;27.5;53.495;31.24);4712.4;9000,(50.345;27.5;53.495;31.24);4712.4;9000
1创研中心2,(42.99;23.46;48.11;26.5);6225.92;16367.63,(42.99;23.46;48.11;26.5);6225.92;16367.63,(43.175;23.5;49.065;26.5);7068;18587.77,(42.945;23.355;46.335;26.505);4271.4;11195.05,(42.945;23.355;46.335;26.505);4271.4;11195.05
1创研中心2,(48.605;23.46;53.495;26.5);5946.24;15632.37,(48.605;23.46;53.495;26.5);5946.24;15632.37,(49.565;23.5;53.815;26.5);5100;13412.23,(47.2;23.355;53.5;26.505);7938;20804.95,(47.2;23.355;53.5;26.505);7938;20804.95
2创研中心3,(42.99;27;46.13;31.24);5325.44;9380.5,(42.99;27;46.13;31.24);5325.44;9380.5,(43.17;27;46.39;31.18);5383.84;9514.77,(42.95;27;46.35;31.24);5766.4;10093.75,(42.95;27;46.35;31.24);5766.4;10093.75
2创研中心3,(46.63;27;49.85;31.24);5461.12;9619.5,(46.63;27;49.85;31.24);5461.12;9619.5,(46.885;27;50.095;31.18);5367.12;9485.23,(46.85;27;49.85;31.24);5088;8906.25,(46.85;27;49.85;31.24);5088;8906.25
3实训中心组团,(14.225;20.725;21.075;30.815);27646.6;33647.68,(14.225;20.725;21.075;30.815);27646.6;33647.68,(15.06;20.835;21.62;30.545);25479.04;31007.63,(13.875;20.93;21.005;30.83);28234.8;34354.93,(13.875;20.93;21.005;30.83);28234.8;34354.93
3实训中心组团,(6.775;13.5;13.725;24.32);30079.6;36608.79,(6.775;13.5;13.725;24.32);30079.6;36608.79,(7.095;13.495;14.565;22.225);26085.24;31745.36,(6.78;13.425;13.38;24.335);28802.4;35045.56,(6.78;13.425;13.38;24.335);28802.4;35045.56
3实训中心组团,(14.225;13.495;21.075;20.225);18440.2;22442.9,(14.225;13.495;21.075;20.225);18440.2;22442.9,(15.06;13.505;21.62;20.335);17921.92;21810.72,(13.875;13.425;21.005;20.435);19992.52;24326.07,(13.875;13.425;21.005;20.435);19992.52;24326.07
3实训中心组团,(6.775;24.82;13.725;30.82);16680;20300.62,(6.775;24.82;13.725;30.82);16680;20300.62,(7.095;22.73;14.565;30.55);23366.16;28436.29,(6.78;24.83;13.38;30.83);15840;19273.45,(6.78;24.83;13.38;30.83);15840;19273.45
4应急装备产业组团,(31.72;13.5;39.24;24.42);32847.36;40000,(31.72;13.5;39.24;24.42);32847.36;40000,(31.81;13.505;39.27;24.515);32853.84;40000,(31.005;14.66;39.275;24.6);32881.52;40000,(31.005;14.66;39.275;24.6);32881.52;40000
5无人机实训基地,(31.615;24.935;42.385;33.325);36144.12;44000,(31.615;24.935;42.385;33.325);36144.12;44000,(31.71;25.03;42.67;33.27);36124.16;44000,(31.005;25.18;41.995;33.4);36135.12;44000,(31.005;25.18;41.995;33.4);36135.12;44000
6特色街区,(21.58;13.82;29.28;20.22);19712;12000,(21.58;13.82;29.28;20.22);19712;12000,(22.12;13.545;29.38;20.335);19718.16;12000,(21.5;14.03;29.2;20.43);19712;12000,(21.5;14.03;29.2;20.43);19712;12000
7展示中心,(25.6;30.82;31.08;33.82);6576;4000,(25.6;30.82;31.08;33.82);6576;4000,(25.62;30.54;31.1;33.54);6576;4000,(25;31.03;30.48;34.03);6576;4000,(25;31.03;30.48;34.03);6576;4000
8产教创新融合中心,(23.68;20.74;31.08;24.44);10952;20000,(23.68;20.74;31.08;24.44);10952;20000,(22.12;20.83;29.52;24.53);10952;20000,(23.195;20.925;30.505;24.675);10965;20000,(23.195;20.925;30.505;24.675);10965;20000
9书吧,(21.68;27.45;25.1;30.45);4104;2500,(21.68;27.45;25.1;30.45);4104;2500,(22.12;27.24;25.12;30.66);4104;2500,(21.5;30.61;24.5;34.03);4104;2500,(21.5;30.61;24.5;34.03);4104;2500
10人才公寓,(13.65;2.41;20.97;12.45);29397.12;92000,(13.65;2.41;20.97;12.45);29397.12;92000,(14.34;2.415;21.62;12.505);29382.08;92000,(12.32;2.415;19.66;12.425);29389.36;92000,(12.32;2.415;19.66;12.425);29389.36;92000
11康养组团,(6.775;8.360001;13.145;12.5);10548.72;33000,(6.775;8.360001;13.145;12.5);10548.72;33000,(7.09;8.595;13.83;12.505);10541.36;33000,(6.78;7.185;11.82;12.415);10543.68;33000,(6.78;7.185;11.82;12.415);10543.68;33000
12体育馆及其配套,(31.615;2.42;38.745;12.5);28748.16;30000,(31.615;2.42;38.745;12.5);28748.16;30000,(31.71;2.42;38.83;12.5);28707.84;30000,(30.77;3.525;38.85;12.415);28732.48;30000,(30.77;3.525;38.85;12.415);28732.48;30000
13食堂,(6.785;2.405;10.735;7.855);8611;12000,(6.785;2.405;10.735;7.855);8611;12000,(10.045;2.41;13.835;8.09);8610.88;12000,(6.78;2.41;11.82;6.690001);8628.48;12000,(6.78;2.41;11.82;6.690001);8628.48;12000
14户外体育区,(22.185;2.42;31.115;12.5);36005.76;0,(22.185;2.42;31.115;12.5);36005.76;0,(22.275;2.42;31.205;12.5);36005.76;0,(20.165;2.42;30.275;12.42);40440;0,(20.165;2.42;30.275;12.42);40440;0
