Zones ,0,1,2,3,4
0,(74;6.16;81.84;21.34);47604.48;1.67,(74;6.16;81.84;21.34);47604.48;1.67,(74;6.16;81.84;21.34);47604.48;1.67,(74;6.16;81.84;21.34);47604.48;1.67,(74;6.16;81.84;21.34);47604.48;1.67
1,(51.74;0.1999998;71.24001;10.66);81588;1.97,(51.74;0.1999998;71.24001;10.66);81588;1.97,(51.74;0.1999998;71.24001;10.66);81588;1.97,(51.74;0.1999998;71.24001;10.66);81588;1.97,(51.74;0.1999998;71.24001;10.66);81588;1.97
2,(71.645;0.2;82.175;5.76);23418.72;1.89,(71.645;0.2;82.175;5.76);23418.72;1.89,(71.645;0.2;82.175;5.76);23418.72;1.89,(71.645;0.2;82.175;5.76);23418.72;1.89,(71.645;0.2;82.175;5.76);23418.72;1.89
3,(64.07999;11.105;73.6;21.695);40326.72;0.7,(64.07999;11.105;73.6;21.695);40326.72;0.7,(64.07999;11.105;73.6;21.695);40326.72;0.7,(64.07999;11.105;73.6;21.695);40326.72;0.7,(64.07999;11.105;73.6;21.695);40326.72;0.7
4,(45.86;0.2;50.34;4.7);8064;2,(45.86;0.2;50.34;4.7);8064;2,(45.86;0.2;50.34;4.7);8064;2,(45.86;0.2;50.34;4.7);8064;2,(45.86;0.2;50.34;4.7);8064;2
5,(52.685;18.04;58.795;24.8);16521.44;2,(52.685;18.04;58.795;24.8);16521.44;2,(52.685;18.04;58.795;24.8);16521.44;2,(52.685;18.04;58.795;24.8);16521.44;2,(52.685;18.04;58.795;24.8);16521.44;2
6,(82.58;9.43;86.38;17.01);11521.6;0.7,(82.58;9.43;86.38;17.01);11521.6;0.7,(82.58;9.43;86.38;17.01);11521.6;0.7,(82.58;9.43;86.38;17.01);11521.6;0.7,(82.58;9.43;86.38;17.01);11521.6;0.7
7,(59.205;39.695;62.595;46.485);9207.24;0.7,(59.205;39.695;62.595;46.485);9207.24;0.7,(59.205;39.695;62.595;46.485);9207.24;0.7,(59.205;39.695;62.595;46.485);9207.24;0.7,(59.205;39.695;62.595;46.485);9207.24;0.7
8,(62.995;23.675;91.545;45.365);247699.8;1.4,(62.995;23.675;91.545;45.365);247699.8;1.4,(62.995;23.675;91.545;45.365);247699.8;1.4,(62.995;23.675;91.545;45.365);247699.8;1.4,(62.995;23.675;91.545;45.365);247699.8;1.4
9,(59.2;11.06;63.68;14.06);5376;2,(59.2;11.06;63.68;14.06);5376;2,(59.2;11.06;63.68;14.06);5376;2,(59.2;11.06;63.68;14.06);5376;2,(59.2;11.06;63.68;14.06);5376;2
10,(31.125;22.095;48.435;30.805);60308.04;0.7,(31.125;22.095;48.435;30.805);60308.04;0.7,(31.125;22.095;48.435;30.805);60308.04;0.7,(31.125;22.095;48.435;30.805);60308.04;0.7,(31.125;22.095;48.435;30.805);60308.04;0.7
11,(51.74;49.44;54.74;55.3);7032;1.5,(51.74;49.44;54.74;55.3);7032;1.5,(51.74;49.44;54.74;55.3);7032;1.5,(51.74;49.44;54.74;55.3);7032;1.5,(51.74;49.44;54.74;55.3);7032;1.5
12,(82.585;17.42;89.275;23.28);15681.36;2.57,(82.585;17.42;89.275;23.28);15681.36;2.57,(82.585;17.42;89.275;23.28);15681.36;2.57,(82.585;17.42;89.275;23.28);15681.36;2.57,(82.585;17.42;89.275;23.28);15681.36;2.57
13,(76.91;45.76;95.63;55.3);71435.52;2.35,(76.91;45.76;95.63;55.3);71435.52;2.35,(76.91;45.76;95.63;55.3);71435.52;2.35,(76.91;45.76;95.63;55.3);71435.52;2.35,(76.91;45.76;95.63;55.3);71435.52;2.35
14,(67.895;49.175;73.605;55.305);14000.92;1.6,(67.895;49.175;73.605;55.305);14000.92;1.6,(67.895;49.175;73.605;55.305);14000.92;1.6,(67.895;49.175;73.605;55.305);14000.92;1.6,(67.895;49.175;73.605;55.305);14000.92;1.6
15,(33.015;6.57;42.365;21.69);56548.8;1.05,(33.015;6.57;42.365;21.69);56548.8;1.05,(33.015;6.57;42.365;21.69);56548.8;1.05,(33.015;6.57;42.365;21.69);56548.8;1.05,(33.015;6.57;42.365;21.69);56548.8;1.05
16,(30.2;31.205;50.34;55.035);191974.48;0,(30.2;31.205;50.34;55.035);191974.48;0,(30.2;31.205;50.34;55.035);191974.48;0,(30.2;31.205;50.34;55.035);191974.48;0,(30.2;31.205;50.34;55.035);191974.48;0
Rectangle
Roads
Axis
